,Player,Position,GP,PM,Salary,Log_Salary,Average PM,Average_PM
656,XAVIER.OUELLET,Defence,96,-6,3215000,14.983337915653857,-0.0625,-0.0625
657,YANNICK.WEBER,Defence,347,5,7086667,15.773725689246653,0.01440922190201729,0.01440922190201729
658,ZACH.BOGOSIAN,Defence,534,-118,34123271,17.345490143519132,-0.2209737827715356,-0.2209737827715356
659,ZACH.HYMAN,Offense,98,-27,5425000,15.506528457390797,-0.2755102040816326,-0.2755102040816326
660,ZACH.PARISE,Offense,667,311,65019234,17.990193691780174,0.4662668665667166,0.4662668665667166
661,ZACK.KASSIAN,Offense,313,-21,9770000,16.094827024018965,-0.0670926517571885,-0.0670926517571885
662,ZACK.SMITH,Offense,474,-65,15328427,16.54521963632042,-0.1371308016877637,-0.1371308016877637
663,ZAC.RINALDO,Offense,275,-39,2040000,14.528460365820399,-0.14181818181818182,-0.14181818181818182
664,ZBYNEK.MICHALEK,Defence,597,-164,24090860,16.9973430734142,-0.2747068676716918,-0.2747068676716918
665,ZDENO.CHARA,Defence,739,173,60500000,17.91815392300107,0.23410013531799728,0.23410013531799728
666,ZEMGUS.GIRGENSONS,Offense,277,-75,6350834,15.664096700827395,-0.27075812274368233,-0.27075812274368233
